id,district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
378,Podgórze,Kraków,1,403459.65,2,25.25,2022,15978.60,2020-01-01,
379,Stare Miasto,Kraków,0,602829.00,1,31.25,1936,19290.53,2020-01-01,
380,Mistrzejowice,Kraków,0,695256.49,3,59.09,2022,11766.06,2020-01-01,
381,Nowa Huta,Kraków,3,599567.91,2,39.31,2020,15252.30,2020-01-01,
382,Nowa Huta,Kraków,3,602829.00,2,40.00,1955,15070.73,2020-01-01,
383,Podgórze Duchackie,Kraków,4,492431.40,2,32.71,2021,15054.46,2020-01-01,
384,Prądnik Biały,Kraków,2,836893.70,3,61.95,2020,13509.18,2020-01-01,
385,Prądnik Biały,Kraków,6,574895.50,2,41.66,2022,13799.70,2020-01-01,
386,Krowodrza,Kraków,2,835245.00,4,64.00,1980,13050.71,2020-01-01,
387,Nowa Huta,Kraków,0,1304434.80,4,99.85,2010,13063.94,2020-01-01,
388,Podgórze Duchackie,Kraków,10,631881.00,3,57.00,1980,11085.63,2020-01-01,
389,Dębniki,Kraków,1,647224.81,3,47.91,2022,13509.18,2020-01-01,
390,Prądnik Biały,Kraków,2,989306.30,4,79.64,2020,12422.23,2020-01-01,
391,Podgórze,Kraków,3,422706.60,1,29.31,2022,14421.92,2020-01-01,
392,Nowa Huta,Kraków,0,724847.40,2,40.86,2020,17739.78,2020-01-01,
393,Mistrzejowice,Kraków,0,514730.26,2,40.73,2022,12637.62,2020-01-01,
394,Podgórze,Kraków,2,1015367.40,3,75.86,2021,13384.75,2020-01-01,
395,Nowa Huta,Kraków,0,668196.00,2,39.65,2019,16852.35,2020-01-01,
396,Podgórze,Kraków,0,536009.40,1,28.00,2020,19143.19,2020-01-01,
397,Stare Miasto,Kraków,4,1532493.00,3,88.00,1900,17414.70,2020-01-01,
398,Dębniki,Kraków,1,1318988.40,5,104.37,2022,12637.62,2020-01-01,
399,Grzegórzki,Kraków,0,673018.63,2,38.61,2021,17431.20,2020-01-01,
